,err_prob,n_checks,Encoded blocks, source block size, encoded block size,Decoded blocks,valid blocks,Average iterations, bit changes %, Decoding time (milli-seconds),Block counts tot, with chk errs, with src errs, both,Bit error rate (on message bits only),1-BLER,shannon,real_key,eff_key
103,0.05,725,1454.0,275.0,1000.0,1454.0,1454.0,1.6,1.0,0.082,1454.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,-0.01139695711595623,0.0
104,0.06,100,444.0,900.0,1000.0,444.0,0.0,250.0,0.0,8.787,444.0,444.0,444.0,444.0,0.06051,0.0,0.32744491915447627,0.5725550808455238,0.0
105,0.06,125,457.0,875.0,1000.0,457.0,0.0,250.0,0.0,8.445,457.0,457.0,457.0,457.0,0.06051,0.0,0.32744491915447627,0.5475550808455237,0.0
106,0.06,150,470.0,850.0,1000.0,470.0,0.0,250.0,0.0,8.256,470.0,470.0,470.0,470.0,0.06051,0.0,0.32744491915447627,0.5225550808455237,0.0
107,0.06,175,484.0,825.0,1000.0,484.0,0.0,250.0,0.0,7.988,484.0,484.0,484.0,484.0,0.06052,0.0,0.32744491915447627,0.49755508084552375,0.0
108,0.06,200,500.0,800.0,1000.0,500.0,0.0,250.0,0.0,7.424,500.0,500.0,500.0,500.0,0.06051,0.0,0.32744491915447627,0.4725550808455237,0.0
109,0.06,225,516.0,775.0,1000.0,516.0,0.0,250.0,0.0,8.047,516.0,516.0,516.0,516.0,0.0605,0.0,0.32744491915447627,0.44755508084552376,0.0
110,0.06,250,533.0,750.0,1000.0,533.0,1.0,249.6,0.0,8.914,533.0,532.0,532.0,532.0,0.05972,0.001876172607879925,0.32744491915447627,0.42255508084552373,0.0007927862680028588
111,0.06,275,551.0,725.0,1000.0,551.0,9.0,246.4,1.0,7.342,551.0,542.0,542.0,542.0,0.05531,0.016333938294010888,0.32744491915447627,0.3975550808455237,0.006493640159001294
112,0.06,300,571.0,700.0,1000.0,571.0,93.0,213.3,2.0,7.506,571.0,478.0,478.0,478.0,0.04296,0.1628721541155867,0.32744491915447627,0.37255508084552375,0.060678848544017006
113,0.06,325,592.0,675.0,1000.0,592.0,298.0,133.3,3.0,8.317,592.0,294.0,294.0,294.0,0.0235,0.5033783783783784,0.32744491915447627,0.3475550808455237,0.17495171299318593
114,0.06,350,615.0,650.0,1000.0,615.0,502.0,55.6,4.0,0.54,615.0,113.0,113.0,113.0,0.008095,0.816260162601626,0.32744491915447627,0.32255508084552376,0.26328886273894786
115,0.06,375,640.0,625.0,1000.0,640.0,624.0,14.8,4.0,0.233,640.0,16.0,16.0,16.0,0.001167,0.975,0.32744491915447627,0.29755508084552373,0.29011620382438563
116,0.06,400,666.0,600.0,1000.0,666.0,664.0,7.0,4.0,0.234,666.0,2.0,2.0,2.0,0.0001502,0.996996996996997,0.32744491915447627,0.2725550808455237,0.27173659711926085
117,0.06,425,695.0,575.0,1000.0,695.0,695.0,5.0,3.0,0.193,695.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.24755508084552375,0.24755508084552375
118,0.06,450,727.0,550.0,1000.0,727.0,727.0,4.2,3.0,0.12,727.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.22255508084552372,0.22255508084552372
119,0.06,475,761.0,525.0,1000.0,761.0,761.0,3.7,3.0,0.132,761.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.19755508084552376,0.19755508084552376
